ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_GFP_aftermath
5,22,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,214.49020144622773,74.10495866741985,0.10719150497062856,0.03703396235253366,0.06666667014360428,0.0
5,23,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,29.839216513559222,0.25951556488871574,0.05092016469890652,0.0004428593257486617,0.0470588244497776,0.0
5,24,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,139.7451017173007,43.45559344813228,0.10260286469699025,0.03190572206177113,0.06666667014360428,0.0
5,25,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,128.34117945563048,41.41868446953595,0.09700769422194291,0.03130663981068477,0.05882352963089943,0.0
5,26,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,45.682354162447155,2.114186747930944,0.053242837019169174,0.002464087118800634,0.0470588244497776,0.0
5,27,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,201.81569026503712,110.74971067067236,0.17875614726752623,0.09809540360555567,0.09803921729326248,0.0
5,28,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,286.0509855328128,178.6643579872325,0.1912105518267465,0.11942804678290943,0.08627451211214066,0.0
5,29,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,464.72157294116914,409.8996514296159,0.4732398909787873,0.41741308699553553,0.3607843220233917,0.24798154830932617
5,30,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,107.75686544179916,26.12572043016553,0.06755916328639446,0.01637976202518215,0.03921568766236305,0.0
5,31,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,271.6941235298291,125.52941055223346,0.14505826136136096,0.06702050750252721,0.0784313753247261,0.0
5,32,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,128.15294393151999,55.41176420263946,0.12147198476921325,0.05252299924420802,0.06666667014360428,0.0
5,33,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,50.98823661822826,1.2168395863845944,0.046437373969242496,0.0011082327744850588,0.03921568766236305,0.0
5,34,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,50.62353075388819,0.7635524095967412,0.05351324604005094,0.0008071378536963437,0.0470588244497776,0.0
